Submit_ID,Brand_Reg,Model_No,SoldIn,screensize,Screen_Tech,Avg_mode_power,Energy,Availability Status,Star2,Screen_Size2
154681,FURRION,FDFD24D4D-H2,"Australia,Fiji,New Zealand",60.47,LCD (LED),25.58,96,Available,4.5,60
154675,KOGAN,KALED75U94TE,"Australia,Fiji,New Zealand",189.306,LCD (LED),137.1,546,Available,5.5,189
154657,BLAUPUNKT,BP430FSG9700,"Australia,Fiji,New Zealand",107.953,LCD (LED),53.5,212,Available,5,108
154632,LG,OLED97M3PSA,"Australia,New Zealand",245.145,OLED,258,944,Available,5,245
154631,LG,OLED83M3PSA,"Australia,New Zealand",209.585,OLED,212,776,Available,4.5,210
154630,LG,OLED77M3PSA,"Australia,New Zealand",194.738,OLED,216,791,Available,4,195
154555,TCL,32S5400AF,"Australia,Fiji,New Zealand",79.967,LCD (LED),27,110,Available,5.5,80
154553,TCL,40S5400A,"Australia,Fiji,New Zealand",100.305,LCD (LED),35.6,180,Available,5,100
154533,SYLVOX,RT32R3KECA,"Australia,Fiji,New Zealand",80.131,LCD (LED),31.4,118,Available,5,80
154521,SAMSUNG ELECTRONICS,QA50QE1CAS,"Australia,Fiji,New Zealand",125.727,LCD (LED),76,280,Available,5,126
154520,SAMSUNG ELECTRONICS,QA98QN990CW,"Australia,Fiji,New Zealand",247.688,LCD (LED),389,1423,Available,3.5,248
154470,TCL,85P745,"Australia,Fiji,New Zealand",214.783,LCD (LED),174.4,732,Available,5,215
154469,TCL,55C645,"Australia,Fiji,New Zealand",138.711,LCD (LED),97.8,395,Available,4,139
154403,JVC,LT-32ND35A2,Australia,80.039,LCD (LED),35.3,150,Available,4,80
154395,KOGAN,KALED65U94TE,"Australia,Fiji,New Zealand",163.791,LCD (LED),102.9,404,Available,5.5,164
154394,KOGAN,KAQLED43XQ98JSTE,"Australia,Fiji,New Zealand",107.95,LCD (LED),90.1,353,Available,2.5,108
154308,BLAUPUNKT,BP320FSG98,"Australia,Fiji,New Zealand",79.831,LCD,34.296,130,Available,5,80
154242,BLAUPUNKT,BP650USG9900,"Australia,Fiji,New Zealand",163.954,LCD,234.49,858,Available,2,164
154241,EKO,K650UGTQ,"Australia,Fiji,New Zealand",163.954,LCD,234.49,858,Available,2,164
154164,TCL,85C845,"Australia,Fiji,New Zealand",214.783,LCD (LED),306,1300,Available,2.5,215
154162,LOEWE,WE SEE 50,Australia,125.638,LCD (LED),68,251,Available,5.5,126
154156,LOEWE,WE SEE 55,Australia,138.711,LCD (LED),84,309,Available,5,139
154153,LOEWE,LED 32,Australia,80.054,LCD (LED),34,127,Available,5,80
154150,LOEWE,LOEWE *43,Australia,107.95,LCD (LED),65.8,243,Available,4,108
154120,BLAUPUNKT,BP550USG9800,Australia,138.783,LCD (LED),91.788,354,Available,4.5,139
154113,SYLVOX,RT24R3KECA,"Australia,Fiji,New Zealand",60.47,LCD (LED),21,79,Available,5,60
154094,HUBBL GLASS,LT055A-04-FXTL,Australia,138.711,LCD (LED),64.71,240,Available,6,139
154089,HUBBL GLASS,LT043A-04-FXTL,Australia,108.048,LCD (LED),50.73,200,Available,5,108
154085,SYLVOX,RT22R3KECA,"Australia,Fiji,New Zealand",54.485,LCD (LED),17.8,68,Available,5,54
154080,SYLVOX,OT65A2KEGC,"Australia,Fiji,New Zealand",163.896,LCD (LED),237.1,902,Available,2,164
154079,SYLVOX,OT55A2KEGC,"Australia,Fiji,New Zealand",138.783,LCD (LED),168.3,651,Available,2,139
154045,SYLVOX,OT43A2KEGC,"Australia,Fiji,New Zealand",107.987,LCD (LED),107.8,397,Available,2,108
154006,HISENSE,85A7K series,"Australia,New Zealand",214.783,LCD (LED),177.41,696,Available,5.5,215
154005,HISENSE,75A7K series,"Australia,New Zealand",189.34,LCD (LED),127.12,489,Available,6,189
154004,HISENSE,65A7K series,"Australia,New Zealand",163.896,LCD (LED),102.3,399,Available,5.5,164
154003,HISENSE,55A7K series,"Australia,New Zealand",138.783,LCD (LED),77.8,305,Available,5.5,139
154001,HISENSE,43A7K series,"Australia,New Zealand",107.986,LCD (LED),64.97,259,Available,4,108
153981,KOGAN,KALED40F98TE,"Australia,Fiji,New Zealand",100.305,LCD (LED),40,149,Available,6,100
153980,KOGAN,KALED32F98TE,"Australia,Fiji,New Zealand",79.967,LCD (LED),28,104,Available,6,80
153979,PHILIPS,65OLED708/79,"Australia,Fiji,New Zealand",163.897,OLED,114.8,463,Available,5,164
153978,PHILIPS,55OLED708/79,"Australia,Fiji,New Zealand",138.798,OLED,99.5,400,Available,4,139
